,index,totax_2022,totax_ref_2022,totax_ref_2023,totax_ref_2024,totax_ref_2025,totax_ref_2026,totax_ref_2027,totax_ref_2028
0, 0-10n,0,0,0,0,0,0,0,0
1, 0-10z,0,0,0,0,0,0,0,0
2, 0-10p,153,153,153,154,155,156,157,158
3, 10-20,150,150,150,150,150,150,150,150
4, 20-30,155,155,157,158,160,161,163,164
5, 30-40,151,151,153,155,157,159,161,163
6, 40-50,150,150,150,150,151,151,151,151
7, 50-60,150,150,150,150,150,150,150,150
8, 60-70,150,150,150,150,150,150,150,150
9, 70-80,150,150,150,150,150,150,150,150
10, 80-90,755,755,791,830,870,912,957,"1,003"
11, 90-100,"3,711","3,711","3,897","4,092","4,296","4,511","4,737","4,974"
12, ALL,567,567,590,614,639,665,693,721
13, 90-95,"2,304","2,304","2,419","2,540","2,667","2,800","2,941","3,088"
14, 95-99,"4,391","4,391","4,611","4,842","5,085","5,339","5,607","5,887"
15, Top 1%,"8,014","8,014","8,415","8,836","9,277","9,741","10,228","10,740"
